Data,Horário,Rodada,Mandante,Visitante,Gols_Mandante,Gols_Visitante,Resultado Final,Total_Gols,Gols_Mandante_Primeiro_Tempo,Gols_Visitante_Primeiro_Tempo,Resultado_Primeiro_Tempo,Total_Gols_Primeiro_Tempo,Posição_Mandante,Posição_Visitante,Minuto_Gols_Mandante,Minuto_Gols_Visitante,Jogador_Mandante_Gols,Jogador_Visitante_Gols,Gols_Mandante_Prorrogação,Gols_Visitante_Prorrogação,Gols_Mandante_Pênaltis,Gols_Visitante_Pênaltis,Primeiro_Time_Marcador,Árbitro,Público
10/03/2026,21:30,5,Mirassol,Santos,2,2,E,4,1,0,M,1,10,13,"21, 71","80, 88","Igor Formiga, Negueba","Gabriel Barbosa, Gabriel Barbosa",0,0,0,0,Mirassol,Raphael Claus,8152
11/03/2026,19:00,5,Atlético-MG,Internacional,1,0,M,1,1,0,M,1,17,18,2,,Tomás Cuello,,0,0,0,0,Atlético-MG,Ramon Abatti Abel,10132
11/03/2026,20:00,5,Bahia,Vitória,1,1,E,2,1,1,E,2,4,15,45+6,45+2,Jean Lucas,Ramon,0,0,0,0,Vitória,Rafael Rodrigo Klein,43632
11/03/2026,21:30,5,Flamengo,Cruzeiro,2,0,M,2,1,0,M,1,11,19,"5, 90+8",,"Pedro, Jorge Carrascal",,0,0,0,0,Flamengo,Flavio Rodrigues de Souza,56421
11/03/2026,21:30,5,Corinthians,Coritiba,0,2,V,2,0,1,V,1,3,12,,"37, 53",,"Jacy, Lucas Ronier",0,0,0,0,Coritiba,Paulo Cesar Zanovelli,35125
12/03/2026,19:00,5,Remo,Fluminense,0,2,V,2,0,1,V,1,16,5,,"16, 63",,"John Kennedy, Agustín Canobbio",0,0,0,0,Fluminense,Wilton Pereira Sampaio,26528
12/03/2026,19:30,5,Vasco da Gama,Palmeiras,2,1,M,3,0,1,V,1,20,1,"63, 74",40,"Thiago Mendes, Cuiabano",José Manuel López,0,0,0,0,Palmeiras,Sávio Pereira Sampaio,17291
12/03/2026,20:00,5,São Paulo,Chapecoense,2,0,M,2,0,0,E,0,2,9,"47, 60",,"Luciano, Jonathan Calleri",,0,0,0,0,São Paulo,Lucas Casagrande,13493
12/03/2026,21:30,5,Grêmio,Bragantino,1,1,E,2,1,0,M,1,8,7,7,66,Carlos Vinícius,Rodriguinho,0,0,0,0,Grêmio,Davi de Oliveira Lacerda,19472
29/03/2026,19:30,5,Athletico-PR,Botafogo,4,1,M,5,2,1,M,3,6,14,"4, 45+3, 49, 81",43,"Kevin Viveros, Kevin Viveros, Juan Felipe Aguirre, Lucas Esquivel",Edenilson,0,0,0,0,Athletico-PR,Paulo Cesar Zanovelli,22625
